# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
academy	noun	An academy is a group of experts in a particular field of arts or science, who regulate and promote their speciality.
acanthoid	adj	If something is acanthoid, it looks like a thorn.
acanthous	adj	If something is acanthous, it looks like a thorn.
acapnia	noun	Acapnia is a condition where someone's body has less carbon dioxide than it should.
acapnial	adj	If something is acapnial, it is related to acapnia.
acapnic	adj	If something is acapnic, it is related to acapnia.
acardia	noun	If someone or something has acardia, they do not have a heart.
acariasis	noun	If someone has acariasis, they are covered in itch mites.
acaridiasis	noun	If someone has acaridiasis, they are covered in itch mites.
acariosis	noun	If someone has acariosis, they are covered in itch mites.
acarophobia	noun	Acarophobia is the fear of feeling felt on an area of the skin that makes a person or animal to want to rub the area with a sharp object.
acarophobia	noun	Acarophobia is also the fear of insects. It causes the feeling felt on an area of the skin that makes a person or animal to want to rub the area with a sharp object.
acarpellous	adj	If something is acarpellous, it does not have a carpel.
acarpelous	adj	If something is acarpelous, it does not have a carpel.
acarpous	adj	If something is acarpous, it does not make fruit.
acaryote	noun	An acaryote is a biological cell that does not have a nucleus.
acaryotes	noun	The plural form of acaryote; more than one (kind of) acaryote.
acataphasia	noun	Acataphasia is a mental disorder that makes you unable to say what you want to say clearly. It is caused by damage to the central nervous system.
acaudal	adj	If someone or something is acaudal, it does not have a tail.
acaudate	adj	If someone or something is acaudate, it does not have a tail.
acaulescent	adj	If a plant is acaulescent, it does not have a stem
accede	verb	If you accede, you agree to a request or demand.
accede	verb	If you accede, you assume a role in an office.
acceded	verb	The past tense and past participle of accede.
accedes	verb	The third-person singular form of accede.
acceding	verb	The present participle of accede.
accelerando	noun	An accelerando is a slow increase in the speed of music.
accelerando	adj	If a piece of music is accelerando, it is slowly increasing in speed.
accelerandos	noun	The plural form of accelerando; more than one (kind of) accelerando.
accelerant	noun	An accelerant is something that causes something else to accelerate.
accelerants	noun	The plural form of accelerant; more than one (kind of) accelerant.
accelerate	verb	If you are driving and you accelerate your car, you make it go faster.
accelerated	verb	The past tense and past participle of accelerate.
accelerated	adj	If something is accelerated, it is being done faster than it usually is done.
accelerates	verb	The third-person singular form of accelerate.
accelerating	verb	The present participle of accelerate.
acceleration	noun	Acceleration is a change in speed.
acceleration	noun	Acceleration is by how much a speed or velocity goes up.
acceleration	noun	Derivative for velocity, has formula a= lim _(Δx→0)(Δv)/(Δt) .
accelerations	noun	The plural form of acceleration; more than one (kind of) acceleration.
accelerator	noun	An accelerator is the pedal in a vehicle which you step on to make it go faster.
accelerators	noun	The plural form of accelerator; more than one (kind of) accelerator.
accelerometer	noun	An accelerometer is a device that is used to measure acceleration.
accelerometers	noun	The plural form of accelerometer; more than one (kind of) accelerometer.
accent	noun	An accent is the particular way that somebody's speech sounds.
accent	verb	: This short entry needs someone to make it better. You can help Wiktionary by adding to it.
accented	verb	The past tense and past participle of accent.
accenting	verb	The present participle of accent.
accents	noun	The plural form of accent; more than one (kind of) accent.
accents	verb	The third-person singular form of accent.
accentuate	verb	If you accentuate something, you make it more distinct or noticeable.
accentuated	verb	The past tense and past participle of accentuate.
accentuates	verb	The third-person singular form of accentuate.
accentuating	verb	The present participle of accentuate.
accept	verb	If you accept something, you take it when somebody gives it to you.
accept	verb	If you accept something, you believe it as true or valid.
acceptability	noun	Acceptability is the quality of being accepted.
acceptable	adj	When something is acceptable it is capable of being accepted or is worth being accepted.
acceptable	adj	When something is welcome or pleasing, it is acceptable.
acceptably	adv	In an acceptable manner; in a manner to please or give satisfaction.
acceptably	adv	To an acceptable degree.
acceptance	noun	Acceptance is when someone agrees with something or accepts something.
acceptances	noun	The plural form of acceptance; more than one (kind of) acceptance.
accepted	verb	The past tense and past participle of accept.
accepted	adj	Accepted ideas are agreed by most people to be correct or reasonable.
accepting	verb	The present participle of accept.
accepting	adj	If someone is accepting, they are very tolerant.
acceptor	noun	An acceptor is a person who accepts something.
acceptor	noun	An acceptor is an atom or molecule which can accept an electron to form a chemical bond.
acceptors	noun	The plural form of acceptor; more than one (kind of) acceptor.
accepts	verb	The third-person singular form of accept.
access	noun	If you have access to something, you can use it, look at it, enter it, etc.
access	verb	If you access something, you get information from it, usually using a computer.
accessed	verb	The past tense and past participle of access.
accesses	verb	The third-person singular form of access.
accesses	noun	The plural form of access; more than one (kind of) access.
accessibility	noun	Accessibility is the property of being accessible.
accessible	adj	If something is accessible, you can use it, look at it, enter it, etc.
accessible	adj	If someone is accessible, they are friendly and easy to talk to.
accessing	verb	The present participle of access.
accessorial	noun	An accessorial is something that is not needed to do something, but is useful.
accessorials	noun	The plural form of accessorial; more than one (kind of) accessorial.
accessories	noun	The plural form of accessory; more than one (kind of) accessory.
accessorise	verb	If you accessorise something, you decorate it with accessories.
accessorised	verb	The past tense and past participle of accessorise.
accessorises	verb	The third-person singular form of accessorise.
accessorising	verb	The present participle of accessorise.
accessorize	verb	If you accessorize something, you decorate it with accessories.
accessorized	verb	The past tense and past participle of accessorize.
accessorizes	verb	The third-person singular form of accessorize.
accessorizing	verb	The present participle of accessorize.
accessory	noun	An accessory is an extra item, not needed, but which adds to the whole.
accessory	noun	An accessory is a person who helps someone to break the law.
accident	noun	Accident means something that happens without a plan; unintentionally; inadvertently.
accident	noun	An accident is a vehicle crash.
accidental	adj	Accidental means done unintentionally; inadvertently, not on purpose; not deliberately.
accidentally	adv	Accidentally means something happens by chance; unintentionally; inadvertently.
accidents	noun	The plural form of accident; more than one (kind of) accident.
accismus	noun	Accismus is the act of pretending to be not interested in something when you actually are interested in it.
acclaim	verb	If someone or something is acclaimed, they are praised enthusiastically.
acclaim	noun	Acclaim is public praise for someone or something.
acclaimed	verb	The past tense and past participle of acclaim.
acclaiming	verb	The present participle of acclaim.
acclaims	verb	The third-person singular form of acclaim.
acclaims	noun	The plural form of acclaim; more than one (kind of) acclaim.
acclamation	noun	Acclamation is phrase for someone or something.
acclamations	noun	The plural form of acclamation; more than one (kind of) acclamation.
